epoch,loss,ssim,val_loss,val_ssim
0,0.024004638195037842,0.10391107946634293,0.022284364327788353,0.10356646776199341
1,0.0220141913741827,0.11167586594820023,0.02212003991007805,0.1054379791021347
2,0.02153697982430458,0.11321091651916504,0.022588109597563744,0.10547149181365967
3,0.0213258508592844,0.11393207311630249,0.022422922775149345,0.10669447481632233
4,0.021008504554629326,0.11470326036214828,0.022187793627381325,0.10735488682985306
5,0.02081465907394886,0.11519459635019302,0.02156805619597435,0.10763704031705856
6,0.020709242671728134,0.11575949937105179,0.021628592163324356,0.10722135007381439
7,0.02058849111199379,0.11614133417606354,0.021856309846043587,0.10781309753656387
8,0.02043144591152668,0.11642614006996155,0.021472759544849396,0.10804594308137894
9,0.020346926525235176,0.11683306097984314,0.02229411154985428,0.10786759853363037
10,0.02021716721355915,0.1170218363404274,0.021283509209752083,0.10822989791631699
11,0.02018222212791443,0.11710488051176071,0.021280406042933464,0.10807716846466064
12,0.02006162703037262,0.11739914864301682,0.021390466019511223,0.10832790285348892
13,0.01988583616912365,0.11758160591125488,0.021177705377340317,0.10861945897340775
14,0.01984592154622078,0.11785998195409775,0.021266385912895203,0.10845859348773956
15,0.019682595506310463,0.11809796839952469,0.021214559674263,0.10886415839195251
16,0.019695613533258438,0.11831280589103699,0.020764553919434547,0.10881265997886658
17,0.01956159621477127,0.11831782758235931,0.0210680291056633,0.10870715230703354
18,0.019500937312841415,0.11853894591331482,0.0209860410541296,0.10909340530633926
19,0.019512545317411423,0.11873165518045425,0.020817039534449577,0.10929187387228012
20,0.019353361800312996,0.11878741532564163,0.02088586986064911,0.10914624482393265
21,0.019378166645765305,0.11901787668466568,0.020683102309703827,0.10926791280508041
22,0.019240165129303932,0.11918685585260391,0.02047613449394703,0.10975763201713562
23,0.019263261929154396,0.11928622424602509,0.020487574860453606,0.10911117494106293
24,0.019239233806729317,0.1193123385310173,0.020676355808973312,0.11014454066753387
25,0.01911628060042858,0.11955942213535309,0.020501550287008286,0.10972903668880463
26,0.01906636171042919,0.11954857409000397,0.02085169032216072,0.11016257107257843
27,0.019051574170589447,0.11974204331636429,0.020713504403829575,0.11008317023515701
28,0.019027862697839737,0.11978849768638611,0.02047247812151909,0.10991072654724121
29,0.01898541860282421,0.11985189467668533,0.020576423034071922,0.11000442504882812
30,0.018996277824044228,0.11986113339662552,0.020382773131132126,0.11074308305978775
31,0.018926825374364853,0.11983679234981537,0.020344071090221405,0.11113771796226501
32,0.018876835703849792,0.12002306431531906,0.02055530995130539,0.11013606935739517
33,0.018925199285149574,0.12015904486179352,0.020606888458132744,0.10988504439592361
34,0.018857169896364212,0.1201065257191658,0.02006223425269127,0.1098577082157135
35,0.018837882205843925,0.12015311419963837,0.019947025924921036,0.11036473512649536
36,0.018864955753087997,0.12027557939291,0.02039320021867752,0.11061250418424606
37,0.018748460337519646,0.1205391064286232,0.02014186419546604,0.11032278835773468
38,0.01871851459145546,0.12064766883850098,0.020234251394867897,0.11063409596681595
39,0.018694736063480377,0.12065225094556808,0.020499257370829582,0.11048917472362518
40,0.018735015764832497,0.12070156633853912,0.020057616755366325,0.11062175035476685
41,0.01877594366669655,0.1206296905875206,0.02007110044360161,0.11077865213155746
42,0.01868405193090439,0.1206858903169632,0.020223494619131088,0.11047116667032242
43,0.018644768744707108,0.12078654766082764,0.01999804563820362,0.11074045300483704
44,0.018617145717144012,0.12082356959581375,0.020026737824082375,0.1106971800327301
45,0.018611755222082138,0.12078722566366196,0.01995362713932991,0.11071771383285522
46,0.01859697513282299,0.12103921920061111,0.019860228523612022,0.11065484583377838
47,0.01853897236287594,0.1210319846868515,0.020083872601389885,0.11022064089775085
48,0.018551509827375412,0.12114830315113068,0.0199174415320158,0.11135052889585495
49,0.018520580604672432,0.12112605571746826,0.01986638456583023,0.1105755940079689
