epoch,loss,psnr,val_loss,val_psnr
0,0.0014703132910653949,33.347076416015625,0.00012073251127731055,39.37172317504883
1,7.405516225844622e-05,41.654258728027344,4.766548954648897e-05,43.42555618286133
2,3.660775473690592e-05,44.62028503417969,6.102996849222109e-05,42.26597213745117
3,2.3270527890417725e-05,46.57659912109375,1.9042556232307106e-05,47.42875671386719
4,1.6648429664201103e-05,48.0419807434082,1.610756771697197e-05,48.125244140625
5,1.273873567697592e-05,49.223388671875,1.1063084457418881e-05,49.801937103271484
6,1.004739897325635e-05,50.23030090332031,1.521037847851403e-05,48.317283630371094
7,8.302430615003686e-06,51.085731506347656,7.366291811194969e-06,51.58953857421875
8,6.965319698792882e-06,51.84429168701172,6.291088993748417e-06,52.28054428100586
9,6.140480763860978e-06,52.45736312866211,5.6336984926019795e-06,52.75104904174805
10,5.295262326399097e-06,53.04611587524414,4.812743100046646e-06,53.455013275146484
11,4.7546955102006905e-06,53.57125473022461,5.612163931800751e-06,52.694190979003906
12,4.230633749102708e-06,54.05559158325195,4.349778919277014e-06,53.85764694213867
13,3.902462594851386e-06,54.48936462402344,3.501590754240169e-06,54.84678649902344
14,3.4776153370330576e-06,54.93103790283203,3.133796781185083e-06,55.33938980102539
