epoch,loss,psnr,val_loss,val_psnr
0,0.013898923993110657,18.812875747680664,0.012416398152709007,19.20920181274414
1,0.011995694600045681,19.33269500732422,0.011986542493104935,19.35824966430664
2,0.011688564904034138,19.44435691833496,0.011731097474694252,19.450027465820312
3,0.011491233482956886,19.518718719482422,0.01154987420886755,19.51657485961914
4,0.011344574391841888,19.57435417175293,0.011413437314331532,19.567481994628906
5,0.011212474666535854,19.6254940032959,0.011314590461552143,19.605009078979492
6,0.011095688678324223,19.67128562927246,0.011243064887821674,19.631954193115234
7,0.010988909751176834,19.71358871459961,0.01117627415806055,19.657732009887695
8,0.010880663059651852,19.756431579589844,0.01111389696598053,19.682191848754883
9,0.010786483995616436,19.79509162902832,0.011059367097914219,19.703271865844727
10,0.010676740668714046,19.840429306030273,0.010973704978823662,19.73812484741211
11,0.01056654192507267,19.88627052307129,0.010873990133404732,19.778575897216797
12,0.010468997992575169,19.927356719970703,0.01079772599041462,19.80893325805664
13,0.010374569334089756,19.967464447021484,0.01071480754762888,19.84354591369629
14,0.010291499085724354,20.003005981445312,0.010644020512700081,19.87237548828125
15,0.010217713192105293,20.03473472595215,0.010579275898635387,19.89927864074707
16,0.010151022113859653,20.06358528137207,0.010522319003939629,19.92286491394043
17,0.01008951012045145,20.09039878845215,0.010473175905644894,19.943805694580078
18,0.010038654319941998,20.112812042236328,0.010409641079604626,19.970306396484375
19,0.009983813390135765,20.1367244720459,0.010375596582889557,19.983606338500977
20,0.009936355985701084,20.157976150512695,0.01032200362533331,20.0071964263916
21,0.009890981018543243,20.178190231323242,0.010273599997162819,20.0282039642334
22,0.009849060326814651,20.19673728942871,0.010244247503578663,20.040401458740234
23,0.009809300303459167,20.21476173400879,0.010196122340857983,20.061420440673828
24,0.009769895114004612,20.23258399963379,0.010154576040804386,20.07938003540039
25,0.009726929478347301,20.251996994018555,0.010110991075634956,20.098514556884766
26,0.00968161690980196,20.272722244262695,0.010064435191452503,20.118623733520508
27,0.009630744345486164,20.295785903930664,0.010009216144680977,20.143217086791992
28,0.009578347206115723,20.319976806640625,0.00995889212936163,20.165254592895508
29,0.00952493492513895,20.344776153564453,0.00991018395870924,20.18689727783203
30,0.009474539197981358,20.368194580078125,0.00985523872077465,20.211849212646484
31,0.00943045224994421,20.38880157470703,0.009810884483158588,20.231382369995117
32,0.009384969249367714,20.410232543945312,0.009769244119524956,20.25010871887207
33,0.009344085119664669,20.429428100585938,0.009730245918035507,20.26801872253418
34,0.009310046210885048,20.445472717285156,0.009694015607237816,20.284423828125
35,0.009274001233279705,20.462696075439453,0.009661438874900341,20.299360275268555
36,0.009240862913429737,20.478506088256836,0.009630410000681877,20.31359100341797
37,0.009209594689309597,20.4936580657959,0.009600409306585789,20.327030181884766
38,0.009180971421301365,20.507278442382812,0.009568245150148869,20.34235191345215
39,0.009150589816272259,20.52191734313965,0.00954654160887003,20.35202980041504
40,0.009126882068812847,20.53343391418457,0.009512155316770077,20.3682918548584
41,0.009097779169678688,20.54758644104004,0.009488990530371666,20.379117965698242
42,0.009074423462152481,20.55898094177246,0.009467951022088528,20.388708114624023
43,0.009049067273736,20.57135581970215,0.009444579482078552,20.39937400817871
44,0.009022589772939682,20.58439826965332,0.009414734318852425,20.4140625
45,0.008999672718346119,20.595733642578125,0.009394191205501556,20.42338752746582
46,0.008978228084743023,20.606285095214844,0.009365351870656013,20.437196731567383
47,0.008954610675573349,20.617889404296875,0.00934438407421112,20.447425842285156
48,0.008932177908718586,20.628997802734375,0.009328748099505901,20.4543514251709
49,0.008911525830626488,20.639192581176758,0.009305421262979507,20.46542739868164
